"","location","ele","time","name","date","species.code","sex..M.F.","age.pelage..J.A.S.","Rat.ID","left.eartag","right.eartag","RFID","new.animal...Y.N.","total.mass..g.","female..perforate..partially.perforate..imperforate.","female.nipple.size..S.M.L.","pregnant...Y.N.Possibly.","fleas","ticks","male..scrotal..nonscrotal.","Notes","X","X.1","X.2","date_index","year","rat_id_index","coords.x1","coords.x2","optional"
"54","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2017-08-06,"Nefu","F","A",5766,"5766/0384","","0015C465A3","N",165,"PP","M","P","Y","N","","",NA,"",NA,36,2017,90,-122.154735988006,38.5020680353045,TRUE
"55","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2018-07-01,"NeFu","M","J",307,"0307","","003D2D25FD","Y",135,"","","","Y","Y","NS","ticks on ears. Ear sample collected. Pit tag went through, redone; back into WC6",NA,"",NA,44,2018,16,-122.154735988006,38.5020680353045,TRUE
"56","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2013-06-16,"Nefu","F","J",6372,"6372","","1B7970231C","Y",100,"I","S","N","N","N","","Went back into house",NA,"",NA,9,2013,149,-122.154735988006,38.5020680353045,TRUE
"57","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2012-08-10,"Nefu","F","A",5559,"5559","","1B79702C23","N",185,"I","S","","","","","Retagged: pit tag from first capture did not stay in.",NA,"",NA,3,2012,66,-122.154735988006,38.5020680353045,TRUE
"58","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2013-08-31,"Nefu","F","S",6372,"6372","","1B7970231C","N",145,"I","S","N","Y","N","","",NA,"",NA,14,2013,149,-122.154735988006,38.5020680353045,TRUE
"59","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2016-09-11,"Nefu","F","A",6397,"","6397","1B797025C4","N",160,"P","S","N","N","N","","TAIL TRIP MAY HAVE GOTTEN TRAPPED, CHECK TO SEE IF 6 IS C",NA,"",NA,30,2016,156,-122.154735988006,38.5020680353045,TRUE
"60","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2012-07-25,"Nefu","F","A",5559,"5559","","1B79702531","Y",215,"I","S","N","","","","",NA,"",NA,2,2012,66,-122.154735988006,38.5020680353045,TRUE
"61","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2013-09-07,"Nefu","F","S",6372,"6372","","1B7970231C","N",135,"I","S","N","Y","N","","",NA,"",NA,15,2013,149,-122.154735988006,38.5020680353045,TRUE
"62","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2015-08-23,"Nefu","F","S",6397,"","6397","1B79702564","Y",135,"P","M","N","N","N","","blueish vagina, went back into 6",NA,"",NA,24,2015,156,-122.154735988006,38.5020680353045,TRUE
"63","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2013-04-21,"Nefu","F","A",5559,"5559","","1B79702C23","N",280,"I","L","P ","","","","",NA,"",NA,7,2013,66,-122.154735988006,38.5020680353045,TRUE
